Manufacturer,Name,Displacement,Cylinders,Transmission,Drive,CityMPG,HighwayMPG
SUBARU,OUTBACK WAGON AWD,2.5,4,Auto(S5),4,18,24
SUBARU,OUTBACK WAGON AWD,2.5,4,Manual(M5),4,18,24
SUBARU,OUTBACK WAGON AWD,2.5,4,Manual(M5),4,19,26
SUBARU,OUTBACK WAGON AWD,3,6,Auto(S5),4,17,24
SUBARU,TRIBECA AWD,3.6,6,Auto(S5),4,16,21
SUZUKI,GRAND VITARA 4WD,2.7,6,Auto(L5),4,17,21
SUZUKI,GRAND VITARA 4WD,2.7,6,Manual(M5),4,16,21
SUZUKI,XL7 AWD,3.6,6,Auto(S5),4,15,22
TOYOTA,4RUNNER 4WD,4,6,Auto(L5),4,16,20
TOYOTA,4RUNNER 4WD,4.7,8,Auto(L5),4,14,17
TOYOTA,FJ CRUISER 4WD,4,6,Auto(L5),4,16,20
TOYOTA,FJ CRUISER 4WD,4,6,Manual(M6),4,15,18
TOYOTA,HIGHLANDER 4WD,3.5,6,Auto(S5),4,17,23
TOYOTA,HIGHLANDER HYBRID 4WD,3.3,6,Auto(AV),4,27,25
TOYOTA,LAND CRUISER WAGON 4WD,5.7,8,Auto(S6),4,13,18
TOYOTA,RAV4 4WD,2.4,4,Auto(L4),4,20,25
TOYOTA,RAV4 4WD,3.5,6,Auto(L5),4,19,26
TOYOTA,SEQUOIA 4WD,4.7,8,Auto(S5),4,13,16
TOYOTA,SEQUOIA 4WD,5.7,8,Auto(S6),4,13,18
VOLKSWAGEN,TOUAREG,3.6,6,Auto(S6),4,14,20
VOLKSWAGEN,TOUAREG,4.2,8,Auto(S6),4,12,17
VOLKSWAGEN,TOUAREG,5,10,Auto(S6),4,15,20
VOLVO,XC 70 AWD,3.2,6,Auto(S6),4,15,22
VOLVO,XC 90 AWD,3.2,6,Auto(S6),4,14,20
VOLVO,XC 90 AWD,4.4,8,Auto(S6),4,13,19
